iter	Accuracy	Logloss
0	0.9711551851	0.1833834764
1	0.9750939943	0.0969722778
2	0.9798285225	0.06974753362
3	0.9809624222	0.05581622093
4	0.9840060475	0.04869460134
5	0.9841850842	0.04660569338
6	0.9844635859	0.04563042734
7	0.9853985558	0.04371004717
8	0.9860948099	0.042451309
9	0.9859754521	0.04218531057
10	0.9863932046	0.04120457791
11	0.9863534186	0.0409830451
12	0.9864926694	0.03992174606
13	0.9866717062	0.03963275892
14	0.9866915992	0.03887024434
15	0.9868109571	0.03849437702
16	0.9867711711	0.0383556691
17	0.986850743	0.03821071611
18	0.9871889236	0.03700790767
19	0.9872287095	0.0368690028
20	0.9872883885	0.03666846829
21	0.987686248	0.03545067833
22	0.9882432513	0.03442096176
23	0.9884023951	0.03375100433
24	0.9884222881	0.03363683011
25	0.9886013249	0.03320827814
26	0.9886013249	0.03315973634
27	0.9887206827	0.03283325501
28	0.9887007898	0.03274203803
29	0.9888599336	0.03252989022
30	0.9889593984	0.03208668271
31	0.9889792914	0.03204394969
32	0.9889792914	0.03200985952
33	0.9890389703	0.03187378627
34	0.9889593984	0.03182711181
35	0.9890986493	0.0314248837
36	0.9890986493	0.03137924609
37	0.9891583282	0.03127266311
38	0.9890986493	0.03123893196
39	0.9891185422	0.03104494087
40	0.9892577931	0.03097444242
41	0.9892379001	0.03084663124
42	0.9892577931	0.03081071042
43	0.989297579	0.03071023395
44	0.9892379001	0.03058679114
45	0.9892577931	0.03043337922
46	0.9891981141	0.0303954118
47	0.9891782212	0.03034924121
48	0.9894169369	0.03001884915
49	0.9899341543	0.02902290785
50	0.9898346894	0.02893537949
51	0.9898943683	0.02889186658
52	0.9899938332	0.02877827674
53	0.9899142613	0.02870174665
54	0.9899341543	0.02866902552
55	0.9899739402	0.0285864779
56	0.9899938332	0.02846795675
57	0.9904911576	0.02767337238
58	0.9904911576	0.02763884617
59	0.9905110505	0.02760146483
60	0.9905707295	0.02756818131
61	0.9904911576	0.02752094313
62	0.9905110505	0.02747968848
63	0.9905110505	0.02745512687
64	0.9906503014	0.02737955182
65	0.9906503014	0.02734865198
66	0.9906503014	0.02731279416
67	0.9906304084	0.02728634292
68	0.9906105154	0.0272489604
69	0.9905906225	0.02712543866
70	0.9906701944	0.02710126591
71	0.9906304084	0.02706738023
72	0.9906503014	0.02701766312
73	0.9907099803	0.02695955543
74	0.9907298733	0.02692847589
75	0.9907497663	0.02690294618
76	0.9907497663	0.02686558295
77	0.9907895522	0.02681015018
78	0.9907696592	0.02674415974
79	0.9908094452	0.02665259481
80	0.9907696592	0.02641492197
81	0.9906900873	0.02638248751
82	0.9907099803	0.026366359
83	0.9906701944	0.02632116823
84	0.9906900873	0.02629844457
85	0.9906900873	0.02626798372
86	0.9908691241	0.02603186647
87	0.9908890171	0.02599828277
88	0.9909089101	0.0259700396
89	0.9908094452	0.02592939885
90	0.9908492311	0.02586479787
91	0.9908293382	0.02583817754
92	0.9908293382	0.02581688525
93	0.9911675187	0.02552251134
94	0.9910481609	0.0254796077
95	0.9910282679	0.02538870421
96	0.9910481609	0.0253346724
97	0.9910680539	0.02531806289
98	0.9911078398	0.02528519396
99	0.9912470907	0.02518780113
